,User-ID,Location,Age,profession,ville
14182,14183,"boisseron, france, france",34.0,commerce,boisseron
14281,14282,"besançon, franche-comte, france",31.0,commerce,besançon
14353,14354,"paris, n/a, france",46.0,commerce,paris
14386,14387,"paris, paris, france",35.0,commerce,paris
14421,14422,"fontainebleau, europe, france",34.0,commerce,fontainebleau
14453,14454,"caen, normandy, france",34.0,commerce,caen
14455,14456,"strasbourg, alsace, france",27.0,commerce,strasbourg
14460,14461,"st etienne, n/a, france",31.0,commerce,st etienne
14515,14516,"lille, nord pas de calais, france",25.0,commerce,lille
14520,14521,"lyon, rhones-alpes, france",34.0,commerce,lyon
14545,14546,"paris, paris, france",41.0,commerce,paris
14666,14667,"lyon, rhone alpes, france",34.0,commerce,lyon
14743,14744,"paris, idf, france",27.0,commerce,paris
14767,14768,"marseille, n/a, france",24.0,commerce,marseille
14779,14780,"paris, n/a, france",34.0,commerce,paris
14782,14783,"paris, france, france",34.0,commerce,paris
14790,14791,"dorlisheim, alsace, france",16.0,commerce,dorlisheim
14807,14808,"juvisy sur orge, region parisienne, france",41.0,commerce,juvisy sur orge
14896,14897,"paris, paris, france",24.0,commerce,paris
15070,15071,"paris, ile de france, france",22.0,commerce,paris
15080,15081,"lyon, rhone alpes, france",25.0,commerce,lyon
15092,15093,"tours, n/a, france",21.0,commerce,tours
15126,15127,"paris, paris, france",34.0,commerce,paris
15178,15179,"loperec, n/a, france",54.0,commerce,loperec
15184,15185,"cesson-sévigné, bretagne, france",20.0,commerce,cesson-sévigné
15407,15408,"lyon, rhône-alpes, france",34.0,commerce,lyon
15458,15459,"toulouse, haute-garonne, france",34.0,commerce,toulouse
15496,15497,"paris, idf, france",38.0,commerce,paris
15499,15500,"paris, idf, france",34.0,commerce,paris
15509,15510,"paris, ile de france, france",47.0,commerce,paris
15601,15602,"la verrie, vendée, france",21.0,commerce,la verrie
15622,15623,"lille, n/a, france",33.0,commerce,lille
15654,15655,"lille, nord, france",20.0,commerce,lille
15685,15686,"beynes, ile de france, france",34.0,commerce,beynes
15719,15720,"montfaucon, doubs, france",34.0,commerce,montfaucon
15774,15775,"paris, france, france",27.0,commerce,paris
15779,15780,"montpellier, languedoc-roussillon, france",54.0,commerce,montpellier
15787,15788,"lyon, emilia romagna, france",34.0,commerce,lyon
15788,15789,"paris, n/a, france",34.0,commerce,paris
15818,15819,"saint-dizier, champagne-ardenne, france",34.0,commerce,saint-dizier
15844,15845,"auxerre, yonne, france",34.0,commerce,auxerre
15956,15957,"fontcouverte, n/a, france",27.0,commerce,fontcouverte
15984,15985,"contrexeville, vosges, france",25.0,commerce,contrexeville
15999,16000,"toulouse, midi-pyrenees, france",34.0,commerce,toulouse
16008,16009,"rennes, bretagne, france",25.0,commerce,rennes
