,User-ID,ISBN,Book-Rating
11862,900,0060928336,9
11941,915,0156027321,10
12011,936,0679781587,5
12071,1008,0312195516,9
12082,1021,0060930535,10
12093,1025,0060928336,5
12167,1031,0671027360,7
12170,1032,0446310786,10
12179,1054,1400034779,8
12198,1075,0142001740,10
12199,1075,0316666343,7
12201,1075,0385504209,7
12208,1075,1400034779,5
12279,1131,0060976845,7
12303,1131,0446672211,7
12321,1131,0743418174,7
12440,1211,0385504209,9
12554,1249,0440226430,5
12561,1254,0679781587,9
12579,1261,0452282152,7
12584,1264,0375707972,8
12682,1376,0345417623,8
12707,1412,0156027321,9
12730,1424,0060930535,7
12834,1424,0804106304,6
12863,1433,0743418174,3
12912,1435,0446672211,8
12973,1435,0971880107,5
12987,1436,044022165X,6
13038,1486,0971880107,5
13049,1504,0345370775,8
13066,1530,044023722X,8
13070,1535,067976402X,10
13096,1548,0452282152,8
13185,1619,0440225701,9
13193,1650,0804106304,10
13196,1652,0385504209,7
13198,1652,0679781587,7
13318,1718,0743418174,8
13468,1733,059035342X,10
13496,1733,0971880107,1
13523,1768,0440226430,10
13525,1773,0804106304,9
13533,1790,044022165X,5
13561,1803,0385504209,9
13563,1805,0312195516,9
13615,1848,0156027321,10
13627,1848,0345417623,8
13660,1848,0786868716,10
13705,1898,0385484518,8
13900,1928,0316666343,10
13927,1933,0440226430,8
14014,2012,0345353145,8
14035,2019,0440211727,5
14036,2019,0440214041,5
14145,2033,0345337662,5
14393,2089,0446605239,10
14537,2110,059035342X,10
14616,2127,0446605239,8
14740,2179,0385504209,10
14785,2183,0671021001,9
14801,2197,0312291639,9
14816,2204,0440211727,9
14991,2276,0440221471,10
14992,2276,0440236673,10
15486,2333,0312195516,9
15498,2337,0060928336,9
15501,2337,0142001740,8
15700,2375,0671003755,9
15710,2388,0142001740,6
15723,2399,0345337662,9
15757,2411,0971880107,3
15967,2503,1400034779,7
16016,2559,0060928336,7
16286,2766,0316666343,9
16340,2766,0446310786,10
16480,2766,0971880107,6
16660,2854,0316666343,7
16697,2891,0060928336,6
16714,2891,0142001740,7
16715,2891,0156027321,5
16803,2891,0671003755,7
16822,2891,0804106304,7
16885,2907,044023722X,5
17059,2977,0452282152,7
17089,2977,0671021001,9
17192,2995,0060928336,6
17194,2996,0345361792,8
17213,3005,0312278586,5
17237,3026,0804106304,8
17241,3032,0971880107,1
17284,3079,0312278586,5
17305,3099,0440211727,8
17307,3099,0446610038,7
17311,3100,0316601950,6
17375,3145,044021145X,9
17441,3167,0345337662,5
17446,3167,0345370775,9
17542,3206,0385484518,8
17565,3261,0316666343,8
17707,3329,0440234743,8
17749,3344,0671027360,8
17750,3344,1400034779,9
17765,3346,0316666343,9
17839,3350,0140293248,6
17844,3350,0804106304,10
18257,3363,0446672211,10
18819,3371,0440226430,9
18892,3373,0312291639,8
18898,3373,0375727345,7
18935,3373,0671027360,5
18999,3418,059035342X,10
19029,3460,0446605239,6
19122,3534,0679781587,8
19184,3542,0446310786,10
19185,3542,044651652X,3
19215,3556,0385504209,10
19227,3556,044651652X,10
19243,3556,0671027360,10
19270,3569,0060502258,7
19310,3580,0671003755,6
19318,3593,0316666343,9
19342,3601,0316284955,7
19374,3640,0671027360,8
19420,3669,0446672211,10
19530,3709,0440236673,7
19563,3739,067976402X,5
20298,3817,0440206154,7
20304,3821,0060930535,7
20330,3827,0345337662,7
20543,3894,0440226430,10
20746,3999,0385504209,10
20801,4017,0316666343,10
20816,4017,0345443284,10
20830,4017,0375707972,10
20868,4017,0446310786,10
20904,4017,067976402X,10
20906,4017,0679781587,9
21005,4059,006101351X,6
21013,4066,0440236673,7
21030,4090,0316601950,8
21093,4092,0671027360,7
21121,4098,0385504209,10
21125,4098,0671027360,7
21222,4131,0971880107,1
21259,4144,067976402X,5
21324,4157,0440206154,9
21390,4169,0385504209,10
21400,4179,0345353145,7
21406,4183,0743418174,6
21417,4193,0375727345,5
21504,4225,0446310786,10
21506,4225,0804106304,6
21917,4385,0440221471,10
22266,4570,0671003755,8
22282,4571,1400034779,9
22287,4579,0440214041,5
22405,4669,0316601950,6
22441,4732,067976402X,9
22480,4784,0971880107,2
22481,4785,006101351X,5
22485,4785,0140293248,6
22489,4785,0312291639,9
22535,4795,0060930535,10
22539,4795,0316666343,9
22545,4795,0452282152,9
22555,4802,0316666343,9
22596,4821,0786868716,6
22771,4938,006101351X,7
22797,4938,0440220602,8
22860,4973,0385484518,8
22873,4999,1400034779,10
22874,5003,0452282152,7
22900,5037,0440211727,10
22901,5037,0440213525,8
22902,5037,0440214041,9
22903,5037,0440221471,10
22904,5037,0440226430,6
22932,5049,0316666343,8
22970,5126,0971880107,5
23066,5207,0440241073,8
23076,5207,059035342X,8
23338,5333,0440213525,9
23453,5385,0345370775,10
23518,5439,0060928336,8
23635,5476,0312278586,7
23639,5476,0316666343,4
23649,5476,0385504209,10
23653,5476,0440225701,5
23738,5490,0060930535,7
23817,5539,0142001740,8
23957,5559,0385504209,8
23977,5582,0140293248,9
24029,5582,044651652X,7
24134,5604,0971880107,6
24261,5638,006101351X,9
24418,5722,0060930535,8
24420,5722,0385504209,7
24550,5782,0316284955,8
24638,5850,0375706771,10
24647,5866,0060502258,7
24900,5932,0312291639,5
25079,6015,0316284955,5
25146,6073,0440211727,6
25147,6073,0440214041,5
25148,6073,0440226430,6
25184,6074,0440226430,8
25185,6074,0446610038,8
25425,6238,0345361792,8
25471,6242,0140293248,5
25485,6242,0312195516,7
25492,6242,0312291639,5
25507,6242,0375707972,8
25598,6242,067976402X,8
25927,6251,0375727345,6
25978,6251,0385484518,7
26052,6251,0440206154,7
26059,6251,0440222656,7
26322,6251,067976402X,8
26786,6323,0440213525,6
27003,6347,0446605239,7
27007,6348,0440241073,8
27008,6349,0060928336,8
27074,6392,067976402X,10
27167,6431,0971880107,4
27249,6501,0060976845,7
27340,6535,0385504209,10
27353,6537,0316284955,8
27366,6537,0446672211,8
27454,6543,0142001740,9
27617,6543,0446610038,9
27866,6563,0312278586,7
27909,6563,0385484518,10
27932,6563,0440211727,10
27934,6563,0440213525,9
27939,6563,0440226430,9
27984,6563,059035342X,8
27990,6563,0671021001,2
28020,6563,0743418174,9
28027,6563,0786868716,10
28122,6566,1400034779,9
28143,6575,0060502258,8
28155,6575,0060928336,8
28213,6575,0140293248,8
28222,6575,0142001740,8
28253,6575,0312195516,8
28367,6575,0375706771,7
28426,6575,0385484518,6
28509,6575,0446606812,2
28513,6575,0446672211,8
28571,6575,0452282152,6
28707,6575,067976402X,7
28713,6575,0679781587,9
28797,6575,0804106304,9
28882,6575,1400034779,9
28962,6577,067976402X,9
28994,6592,0440222656,8
29091,6637,0142001740,10
29151,6670,006101351X,8
29175,6679,0312195516,10
29178,6679,0446672211,9
29353,6704,0142001740,10
29409,6764,0375727345,8
29445,6772,0440206154,8
29459,6772,0446605239,5
29499,6778,0316666343,8
29523,6789,0060502258,7
29532,6789,0440226430,3
29563,6815,0385504209,10
29632,6866,0440225701,7
29668,6871,0440211727,4
29717,6900,0316284955,10
29824,6991,0446605239,9
29847,7033,0060928336,9
29909,7072,059035342X,7
30006,7105,0142001740,7
30083,7105,0971880107,6
30100,7107,0060928336,8
30113,7119,067976402X,9
30128,7125,0060930535,8
30135,7125,0140293248,6
30172,7125,0375727345,7
30242,7125,0743418174,8
30261,7125,0786868716,10
30395,7134,0312195516,9
30412,7134,1400034779,7
30600,7158,0446605239,10
30610,7158,0446672211,8
30841,7160,0446606812,9
30985,7228,0446672211,8
31017,7248,0440213525,10
31067,7283,0312278586,9
31077,7283,0375707972,10
31082,7283,0385504209,9
31088,7283,044023722X,10
31113,7283,0743418174,8
31382,7301,0140293248,10
31387,7306,0060930535,7
31681,7346,0345361792,9
31684,7346,0345370775,8
31880,7346,0440221471,9
31886,7346,0440225701,10
31887,7346,0440234743,9
31890,7346,0440236673,8
31893,7346,0440241073,8
32360,7346,0786868716,7
32372,7346,0804106304,9
32514,7352,0440234743,8
32646,7409,0446310786,8
32660,7424,0316666343,7
32720,7482,059035342X,8
32883,7620,0312195516,10
32890,7620,0440211727,7
32891,7620,0440221471,7
32892,7620,044022165X,8
32961,7651,0316769487,3
33040,7809,059035342X,8
33047,7820,0743418174,8
33062,7841,0316769487,7
33066,7841,0446310786,5
33088,7856,0804106304,8
33095,7860,0440214041,8
33100,7860,0446672211,8
33111,7864,0345361792,7
33151,7874,0142001740,9
33351,7915,0312195516,10
33383,7915,0375706771,8
33396,7915,0385504209,10
33422,7915,0440226430,7
33442,7915,0452282152,9
33497,7915,0786868716,10
33621,7958,0804106304,10
33700,8006,0385504209,9
33745,8019,0440220602,7
33864,8066,0060502258,9
33880,8066,0142001740,10
33882,8066,0156027321,9
33925,8066,044023722X,7
33930,8066,0446672211,7
33967,8066,0743418174,8
34125,8067,0446606812,8
34244,8086,0060928336,10
34248,8089,0440222656,10
34335,8115,0446310786,8
34364,8154,0440241073,8
34491,8220,0446672211,10
34504,8234,0316601950,8
34513,8234,044651652X,5
34584,8245,0156027321,9
34589,8245,0312195516,9
34656,8245,044021145X,9
34683,8245,0452282152,10
34841,8253,0060928336,10
34844,8253,0060930535,10
34881,8253,0316601950,9
34882,8253,0316666343,10
34933,8253,044021145X,9
34939,8253,0446310786,10
34974,8253,0671021001,10
34990,8253,067976402X,10
34991,8253,0679781587,10
35027,8255,0156027321,8
35050,8268,0312278586,7
35265,8290,067976402X,10
35279,8309,0440236673,8
35368,8361,0971880107,2
35532,8453,0679781587,8
35533,8453,0971880107,3
35547,8454,0140293248,7
35552,8454,0142001740,9
35558,8454,0156027321,9
35563,8454,0316601950,9
35610,8454,0679781587,10
35619,8454,0743418174,8
35721,8487,0440241073,7
35833,8529,0140293248,6
35949,8580,0060928336,10
36003,8613,0060930535,10
36011,8630,1400034779,7
36021,8652,0060928336,9
36076,8674,0971880107,1
36149,8681,0142001740,9
36177,8681,0312195516,8
36467,8682,0345417623,8
36577,8734,0312195516,9
36585,8734,0385504209,9
36793,8782,0786868716,9
36834,8801,0316666343,10
36835,8801,0316769487,8
36841,8801,0440241073,7
36848,8801,0671027360,10
36962,8840,0316601950,7
36963,8840,0446672211,7
36978,8853,0312291639,10
36985,8856,0312195516,7
37007,8864,1400034779,8
37023,8870,0385504209,7
37850,8961,0440226430,9
38182,9083,0440236673,4
38448,9178,0446610038,8
38487,9203,0375707972,8
38513,9226,0312291639,8
38527,9227,0345417623,7
38536,9227,0440236673,9
38742,9343,0385504209,8
38770,9354,0446606812,10
38890,9389,0440213525,8
38941,9414,0971880107,7
39025,9417,0446310786,7
39031,9417,0446610038,7
39136,9419,0440234743,5
39185,9454,044022165X,9
39209,9484,044021145X,10
39210,9486,0316666343,10
39217,9490,059035342X,10
39218,9492,0446610038,10
39270,9568,0446606812,8
39468,9637,059035342X,5
39575,9747,0312278586,8
39652,9747,059035342X,10
39763,9856,0345353145,6
39764,9856,0345361792,10
39899,9856,0679781587,10
40111,9908,059035342X,10
40502,10090,0385504209,10
40509,10112,0345337662,7
40534,10118,0385484518,10
40555,10118,0671027360,10
40562,10118,0786868716,10
40592,10134,0316769487,3
40608,10162,044022165X,6
40638,10199,0156027321,10
40639,10199,0316666343,7
40645,10199,0452282152,10
40674,10215,0345417623,6
40740,10273,0679781587,9
40762,10314,0060976845,9
40778,10314,0312195516,9
40786,10314,0316601950,8
40833,10314,0446310786,9
40891,10314,0743418174,9
41144,10441,0316666343,8
41154,10447,0060928336,9
41157,10447,0060976845,8
41299,10447,0452282152,7
41356,10447,0786868716,7
41393,10470,0345417623,7
41413,10494,0971880107,3
41525,10560,0312195516,9
41528,10560,0316666343,8
41557,10560,0385504209,10
41596,10560,059035342X,10
41599,10560,0671027360,8
41604,10560,0743418174,8
41632,10570,0971880107,3
41725,10607,0156027321,10
41743,10619,0316601950,9
41850,10697,059035342X,10
42424,10921,0142001740,10
42504,10949,0440213525,8
42522,10959,0060976845,9
42622,11070,0316601950,5
42797,11155,044023722X,6
42806,11169,0345337662,9
42830,11187,0385504209,7
42900,11224,0316666343,9
42912,11224,0385504209,9
42920,11224,0440220602,7
42924,11224,0440234743,6
42949,11224,0971880107,1
42989,11245,0440236673,7
43063,11283,0440211727,10
43113,11362,0345361792,10
43190,11400,0312195516,7
43208,11400,0440222656,6
43226,11400,0743418174,8
43229,11400,0786868716,9
43334,11474,0142001740,10
43340,11489,0375727345,9
43351,11507,0316769487,9
43358,11517,0156027321,10
43433,11554,0971880107,1
43436,11567,0440222656,7
43455,11591,0316666343,8
43457,11594,0060928336,8
44065,11601,0446310786,10
45033,11609,0446610038,8
45305,11657,0804106304,7
45618,11676,0060502258,8
45825,11676,006101351X,8
46427,11676,0140293248,5
46678,11676,0156027321,6
46899,11676,0312195516,10
46946,11676,0312278586,6
46957,11676,0312291639,9
47223,11676,0316666343,5
47573,11676,0345337662,6
47607,11676,0345361792,10
47619,11676,0345370775,8
47708,11676,0345417623,10
48257,11676,0375706771,6
48261,11676,0375707972,9
48278,11676,0375727345,7
48780,11676,0385484518,9
48823,11676,0385504209,9
49697,11676,044021145X,1
49709,11676,0440213525,5
49754,11676,0440221471,9
49760,11676,0440222656,1
49786,11676,0440225701,8
49794,11676,0440226430,7
49806,11676,0440234743,9
49816,11676,0440236673,8
49827,11676,044023722X,8
49833,11676,0440241073,8
50090,11676,044651652X,8
50184,11676,0446605239,6
50228,11676,0446610038,10
50281,11676,0446672211,10
52007,11676,059035342X,10
52342,11676,0671003755,1
53009,11676,067976402X,10
53600,11676,0743418174,8
54158,11676,0786868716,9
55317,11676,0971880107,6
58964,11687,0446672211,10
59068,11708,0312195516,9
59117,11714,0679781587,9
59137,11718,044023722X,8
59142,11718,0671021001,8
59159,11724,0060976845,7
59295,11768,0971880107,8
59310,11788,0345353145,6
59311,11788,0345370775,9
59496,11916,059035342X,7
59531,11944,0345370775,8
59659,11993,0312291639,6
59706,11993,0440213525,6
59707,11993,0440214041,7
59959,11993,0971880107,2
60156,12100,067976402X,7
60301,12154,0375707972,7
60306,12154,0671021001,7
60310,12154,0786868716,7
60379,12194,0345337662,10
60431,12209,0312195516,7
60434,12209,0385484518,10
60450,12220,0786868716,2
60542,12264,0971880107,7
60591,12272,0671027360,10
60603,12272,0971880107,10
60642,12285,0375727345,9
60647,12293,0345443284,8
60661,12316,0671003755,10
60663,12319,0345443284,8
60724,12333,044023722X,7
61114,12538,0312195516,9
61919,12538,0671021001,9
62375,12565,0345417623,7
62377,12567,044651652X,9
62399,12569,0312291639,9
62445,12569,0804106304,7
62496,12578,0312195516,10
62505,12586,0671021001,7
62537,12619,0316601950,5
62542,12619,0440241073,8
62814,12685,0440234743,10
62821,12687,0312291639,7
62856,12698,044021145X,9
62864,12702,0345443284,10
62882,12707,0316284955,8
62883,12707,0345361792,10
62885,12707,0440206154,10
62957,12775,0316601950,8
63010,12811,0452282152,8
63033,12824,0060928336,4
63048,12824,0345370775,7
63065,12824,0440206154,8
63066,12824,0440211727,5
63513,12917,0312278586,10
63516,12917,0316284955,10
63557,12923,0440234743,10
63568,12930,0446672211,8
63615,12966,0316769487,9
63618,12971,0671021001,6
63623,12977,044022165X,6
63674,12982,0345370775,8
63730,12982,0440206154,8
63731,12982,0440221471,7
64046,13048,0446605239,8
64072,13071,0671003755,8
64378,13088,0971880107,6
64410,13093,0375707972,9
64584,13121,0446605239,7
64623,13133,0440236673,8
64679,13168,0060930535,8
64699,13173,0671027360,9
64782,13221,0971880107,9
64860,13273,0060930535,9
64908,13273,0316601950,9
64909,13273,0316666343,8
64985,13273,0385504209,9
65042,13273,0446672211,9
65117,13273,0671027360,8
65326,13279,0385504209,10
65395,13331,0440211727,2
65503,13387,0375707972,6
65566,13479,0971880107,4
65580,13503,0060976845,10
65589,13518,0440211727,8
65996,13552,0385484518,10
66001,13552,0385504209,10
66071,13552,0440211727,9
66074,13552,0440214041,9
66077,13552,0440220602,7
66078,13552,0440221471,8
66080,13552,044022165X,8
66096,13552,0440234743,8
66125,13552,044651652X,8
66379,13552,0743418174,10
66405,13552,0786868716,9
66521,13582,0316666343,7
66943,13709,0446605239,10
66990,13726,0345417623,7
67101,13850,0060502258,10
67123,13850,0316769487,9
67159,13850,0385484518,10
67181,13850,0446310786,9
67246,13850,0786868716,5
67419,13917,0312291639,4
67571,13973,0316601950,3
67573,13973,0671021001,5
67614,13995,0316666343,8
67615,13995,0316769487,9
67675,13995,0804106304,7
67723,14049,0140293248,6
67737,14049,0971880107,1
67789,14079,0452282152,8
67881,14084,0156027321,9
67929,14151,0060928336,10
68009,14180,0345353145,7
68033,14183,0345370775,8
68335,14282,0440206154,7
68467,14354,0446672211,7
68587,14387,0316284955,8
68597,14387,0345361792,9
68609,14387,0375727345,9
68625,14387,0440213525,5
68627,14387,0446672211,7
68680,14387,1400034779,9
68751,14422,0060928336,9
68755,14422,0060976845,9
68804,14422,0316601950,9
68833,14422,0375727345,8
68928,14422,044651652X,7
69108,14422,0743418174,9
69147,14422,1400034779,9
69360,14454,067976402X,7
69378,14456,0316769487,8
69482,14461,0971880107,8
69538,14516,0671021001,10
69570,14521,006101351X,5
69636,14521,0345370775,10
69690,14521,0385504209,10
69767,14521,0440213525,5
69772,14521,0440222656,10
70136,14546,0316601950,8
70412,14667,0142001740,9
70423,14667,0385504209,10
70620,14744,0345353145,9
70666,14768,0316284955,10
70667,14768,0316666343,8
70678,14768,0375707972,7
70684,14768,0440213525,6
70711,14780,0671021001,9
70712,14783,0345370775,9
70716,14791,0446606812,8
70727,14808,0060502258,9
70848,14897,0679781587,10
71333,15071,0312195516,8
71364,15081,0440214041,7
71393,15093,044021145X,7
71430,15127,0385504209,6
71511,15179,0142001740,9
71523,15185,0316769487,5
71880,15408,006101351X,9
72999,15459,0971880107,8
73041,15497,0140293248,6
73090,15500,0060928336,6
73102,15510,0312278586,8
73273,15602,0142001740,10
73277,15602,0312291639,7
73280,15602,0316284955,8
73281,15602,0316666343,9
73291,15602,0385504209,9
73311,15602,0743418174,10
73319,15623,044023722X,8
73421,15655,0440236673,10
73514,15686,0140293248,2
73515,15686,0316601950,3
73542,15720,0446310786,10
73577,15775,0446310786,8
73580,15780,0786868716,9
73588,15788,0060930535,10
73590,15789,0679781587,10
73692,15819,0671027360,10
73749,15845,0312291639,7
73757,15845,0671003755,9
74048,15957,0312291639,3
74258,15985,0140293248,8
74277,16000,0385504209,5
74345,16009,0786868716,6
74370,16019,059035342X,9
74468,16068,0060930535,8
74539,16106,0312278586,8
74585,16106,0375707972,9
74677,16106,0671027360,10
74758,16106,1400034779,10
74800,16114,0316284955,4
74802,16116,0440222656,8
74905,16155,0345361792,8
75337,16242,0345443284,8
75373,16246,0345353145,6
75383,16246,0440226430,9
75484,16263,0971880107,5
75653,16412,0316666343,7
75825,16461,0446605239,8
75904,16488,044021145X,5
75918,16488,0446606812,7
76011,16504,0060502258,7
76022,16504,0345353145,6
76055,16510,0440222656,9
76086,16532,0440214041,10
76092,16538,0345353145,9
76128,16551,0060930535,7
76131,16551,0345417623,8
76133,16551,0440211727,10
76179,16599,0140293248,8
76187,16599,0345337662,8
76367,16631,006101351X,5
76516,16634,0316284955,8
76777,16634,0440213525,7
77192,16634,067976402X,8
77484,16637,0316284955,8
77533,16661,0316601950,6
77541,16666,0345417623,5
77646,16718,0142001740,8
77674,16718,0446605239,9
77703,16718,0743418174,10
77709,16718,0786868716,10
77880,16754,0312278586,5
77882,16755,0316666343,6
78074,16795,0060930535,4
78080,16795,0060976845,7
78232,16795,0142001740,10
78381,16795,0312195516,9
78393,16795,0312291639,9
78485,16795,0316666343,10
78491,16795,0316769487,8
78562,16795,0345417623,5
78832,16795,0375706771,7
78833,16795,0375707972,5
78837,16795,0375727345,9
78991,16795,0385504209,10
79204,16795,0440213525,5
79206,16795,0440214041,6
79221,16795,044022165X,5
79224,16795,0440222656,9
79242,16795,0440226430,9
79322,16795,044651652X,9
79360,16795,0446605239,10
79387,16795,0446610038,9
79405,16795,0446672211,8
79986,16795,0671021001,10
80345,16795,0743418174,9
80439,16795,0786868716,8
80964,16799,0345417623,7
80997,16818,0375706771,7
81032,16835,044021145X,3
81051,16840,0316666343,9
81169,16877,0786868716,10
81394,16916,0440214041,10
81401,16916,0440222656,7
81675,16919,0345353145,6
81769,16943,044021145X,6
82630,16999,0679781587,9
82661,17003,0316666343,9
82665,17003,0345337662,7
82707,17003,0679781587,8
82716,17003,0804106304,8
82735,17006,0316601950,8
82817,17065,0316666343,7
82894,17159,0142001740,8
82895,17159,0312291639,8
82898,17159,0440236673,9
82964,17181,0446672211,8
82976,17183,0316666343,6
82977,17183,0316769487,6
82979,17183,0452282152,6
83169,17200,0671021001,8
83203,17229,0446610038,8
83412,17328,0312195516,9
83427,17337,0440225701,10
83447,17353,0345417623,8
83451,17357,0345337662,9
83547,17453,0440211727,8
83573,17461,0440206154,7
83737,17531,0060930535,8
83750,17547,0060930535,9
83797,17588,0316666343,8
83798,17588,0345361792,10
83842,17606,0786868716,7
83857,17634,0440214041,6
83968,17667,067976402X,8
84040,17721,0142001740,8
84122,17761,0743418174,7
84329,17859,0440226430,9
84419,17869,0312278586,8
84457,17894,044021145X,8
84459,17894,0440214041,9
84460,17894,044022165X,8
84496,17906,0375727345,7
84499,17906,044023722X,10
84500,17906,0446606812,9
84503,17906,0671021001,9
84517,17920,0316666343,8
84569,17944,044021145X,7
84664,17950,0316769487,9
84672,17950,0345443284,4
84713,17950,0385484518,8
84742,17950,0440211727,5
84743,17950,0440213525,5
84750,17950,0446310786,8
84755,17950,044651652X,9
84763,17950,0446605239,6
84908,17950,0679781587,9
85026,17970,0316284955,8
85060,17976,0446606812,9
85099,18012,0671003755,10
85226,18067,0316769487,3
85289,18067,0440226430,4
85454,18082,0440221471,8
85456,18082,0440226430,8
85467,18082,0446605239,9
85640,18121,0316666343,8
85773,18167,0671027360,8
85880,18172,044651652X,9
85983,18176,0156027321,9
86018,18203,0060928336,5
86020,18203,0440221471,10
86086,18254,0804106304,9
86212,18311,067976402X,8
86236,18317,0345361792,9
86604,18401,0446610038,10
86734,18433,0446605239,9
86748,18439,0446672211,10
86773,18454,0375727345,8
86886,18527,0971880107,6
86916,18583,0345417623,8
86939,18629,006101351X,8
86941,18629,0345443284,4
86964,18655,0060930535,6
86968,18660,0446672211,8
87089,18722,0142001740,7
87096,18733,0440236673,7
87325,18913,0446605239,8
87326,18913,0446606812,9
87516,19011,0440220602,8
87684,19085,0345417623,8
87900,19107,0316666343,10
87925,19127,0316769487,8
87929,19132,0316769487,8
87984,19153,044651652X,7
88021,19206,0316666343,7
88202,19336,0316666343,5
88213,19336,0446310786,7
88265,19378,0440226430,7
88332,19433,0786868716,6
88386,19493,0316666343,10
88418,19493,0385484518,10
88555,19529,0316666343,7
88574,19547,0671003755,9
88611,19571,0312278586,8
88630,19573,0316601950,5
88633,19573,044023722X,10
88636,19573,0452282152,9
88767,19659,0060928336,8
88789,19664,0060976845,8
88792,19664,006101351X,10
88924,19664,0446605239,4
89061,19681,0316284955,10
89224,19711,0385484518,9
89370,19725,0142001740,10
89523,19842,0060928336,10
89712,19905,0316666343,9
89736,19935,0440211727,5
89892,20005,0345361792,6
89915,20015,0345370775,8
89932,20022,067976402X,4
89958,20034,0156027321,8
89963,20034,044023722X,6
89964,20034,0452282152,9
90042,20060,044021145X,9
90048,20060,0440241073,9
90170,20106,0060928336,7
90174,20106,0375706771,5
90176,20106,0440226430,9
90350,20115,0446672211,10
90776,20119,0440213525,9
90779,20119,0440222656,9
90784,20119,0446606812,10
90808,20119,059035342X,10
90836,20120,0440214041,10
90865,20147,0971880107,2
90890,20150,0345361792,10
90937,20172,0345337662,8
90955,20172,0385504209,5
91021,20180,0060502258,8
91024,20180,0060928336,10
91025,20180,0060930535,8
91027,20180,0060976845,8
91034,20180,0312195516,10
91045,20180,0446672211,8
91069,20180,0679781587,10
91101,20201,0345370775,8
91175,20201,0440206154,7
91320,20235,0671003755,8
91341,20245,0440206154,7
91421,20294,0385504209,9
91517,20336,0312278586,7
91544,20336,0671003755,9
91622,20350,0156027321,8
91674,20401,0971880107,6
91849,20445,0446610038,6
91912,20456,0060928336,8
91956,20462,0440211727,7
92071,20561,0060502258,10
92118,20583,0440221471,7
92128,20605,0316769487,10
92278,20680,1400034779,8
92322,20703,0786868716,8
92391,20761,0345443284,5
92398,20768,0440213525,10
92444,20801,0440234743,8
92459,20804,0312278586,9
92461,20804,0316666343,9
93000,20862,0440241073,4
93126,20916,0440234743,7
93249,20971,0316666343,6
93261,20971,0345443284,4
93343,20982,0452282152,8
93380,21011,0142001740,10
93381,21011,0156027321,7
93386,21011,0312291639,8
93389,21011,0316601950,8
93478,21014,0060928336,8
93549,21014,0140293248,8
93583,21014,0312195516,9
93589,21014,0312278586,7
93611,21014,0316284955,7
93641,21014,0345370775,5
93688,21014,0375707972,4
93931,21014,0452282152,8
94083,21014,067976402X,7
94255,21026,0316666343,8
94369,21031,0971880107,5
94377,21039,0312291639,8
94427,21061,0312278586,5
94453,21076,0440214041,8
94460,21079,0312195516,8
