,brand,category,name,ingredients,details,image_url
8481,Urban Decay,Lipstick,Vice Lipstick, Octyldodecanol- Isodecyl Neopentanoate- Kaolin- Cetyl Ricinoleate- Butyrospermum Parkii Oil / Shea Oil- Aluminum Starch Octenylsuccinate- Candelilla Cera / Candelilla Wax- Cetyl Lactate- Cera Alba / Beeswax- Cera Microcristallina / Microcrystalline Wax- Polyethylene- Dimethicone/Bis-Isobutyl Ppg-20 Crosspolymer- Aqua / Water- Octyldodecyl Neopentanoate- Caprylyl Glycol- Calcium Sodium Borosilicate- Aluminum Hydroxide- Alumina- Pentaerythrityl Tetra-di-t-Butyl Hydroxyhydrocinnamate- Silica- Tocopherol- Tocopheryl Acetate- Colophonium / Rosin- Glycine Soja Oil / Soybean Oil- Squalane- Orbignya Oleifera Seed Oil- Simmondsia Chinensis Seed Oil / Jojoba Seed Oil- Ascorbyl Palmitate- Theobroma Cacao Seed Butter / Cocoa Seed Butter- Persea Gratissima Oil / Avocado Oil- Shorea Stenoptera Seed Butter- Butyrospermum Parkii Butter / Shea Butter- Tin Oxide- Aloe Barbadensis Leaf Extract- Synthetic Fluorphlogopite- Calcium Aluminum Borosilicate- Polyethylene Terephthalate- Citric Acid- Polylactic Acid. [+/- (May Contain/Peut contenir): CI 77891 / Titanium Dioxide- CI 77491- CI 77492- CI 77499 / Iron Oxides- Mica- CI 15850 / Red 7 Lake- CI 77120 / Barium Sulfate- CI 45410 / Red 28 Lake- CI 15850 / Red 6- CI 19140 / Yellow 5 Lake- CI 15985 / Yellow 6 Lake- CI 42090 / Blue 1 Lake- CI 17200 / Red 33 Lake- CI 75470 / Carmine].,What it is: An innovative lip formula- in an array of shades and finishes- that gives an unbelievable laydown of color with just one swipe.What it does: Vice Lipstick features six indulgent finishes  and array of addictive shades that range from bold brights to dark hues to versatile neutrals. Each shade applies smoothly (without dragging or skipping)- hugs lips- and feels ultra-comfortable. Urban Decay’s proprietary Pigment Infusion System™ gives the formula its super-creamy texture- rich payout- and superior color dispersion. What else you need to know: This creamy formula is packed with nourishing ingredients. A butter blend comforts- hydrates- and enhances- leaving lips soft and conditioned- and never dry. Aloe vera- jojoba- avocado- and babassu oils nourish and soften lips. Illipe butter- derived from Malaysian illipe trees- provides long-lasting moisture- while the vitamins C and E deliver a hint of antioxidants.,https://www.sephora.com/productimages/sku/s2481943-main-zoom.jpg?imwidth=930
8482,Urban Decay,Makeup,Eyeshadow Primer Potion - Original Mini,Isododecane- Talc- Cyclopentasiloxane- Disteardimonium Hectorite- Trimethylsiloxysilicate- Trihydroxystearin- Polyethylene- Triethylhexanoin- Hydroxystearic/Linolenic/Oleic Polyglycerides- Sorbitan Sesquioleate- VP/Eicosene Copolymer- Dimethicone- PEG-40 Stearate- Phenoxyethanol- Synthetic Beeswax- Propylene Carbonate- Water. [+/- (May Contain): Mica- CI 77891 (Titanium Dioxide)- CI 77491/77492/77499 (Iron Oxides)- CI 77163 (Bismuth Oxychloride)].,"What it is:A 24-hour wear- nude eyeshadow primer that ensures vibrant- crease-free wear.

What it does:This primer keeps your eyeshadow crease-free while making color more vibrant and providing a smoother application. Formulated with polymer technology- it fills in any imperfections on the skin’s surface- prepping lids for all-day wear. It glides on smoothly- blends beautifully on all skin tones- and dries on invisibly.",https://www.sephora.com/productimages/sku/s1704444-main-zoom.jpg?imwidth=930
8485,Urban Decay,Lip Liner,24/7 Glide-On Lip Pencil,Cyclopentasiloxane- Polybutene- Synthetic Wax- Isododecane- Simmondsia Chinensis Seed Oil / Jojoba Seed Oil- Hydrogenated Cottonseed Oil- Ceresin- Ozokerite- Cera Microcristallina / Microcrystalline Wax / Cire Microcristalline- Phenoxyethanol- Alumina- Tocopherol- Calcium Aluminum Borosilicate- Barium Sulfate- Ascorbyl Palmitate- Colophonium / Rosin / Colophane- Silica- Tin Oxide. [+/- (May contain/Peut contenir): Mica- CI 77891 / Titanium Dioxide- CI 77491- CI 77492- CI 77499 / Iron Oxides- CI 15850 / Red 7- CI 45410 / Red 28 Lake- CI 15850 / Red 7 Lake- CI 15850 / Red 6- CI 77163 / Bismuth Oxychloride- CI 77742 / Manganese Violet- CI 15985 / Yellow 6 Lake- CI 42090 / Blue 1 Lake- CI 19140 / Yellow 5 Lake- CI 75470 / Carmine- CI 73360 / Red 30]. ,"What it is:
A creamy- 24-hour wear lip pencil that lines and primes lips.

What it does:
 Get primed and ready with Urban Decay’s 24/7 Glide-On Lip Pencil. This long-lasting- waterproof liner glides on smoothly to prime and define lips for long-lasting lip color and clean lines. It features a wide array of shades that coordinate with Vice Lipstick.

Use 24/7 Lip Pencil to fill in your lips completely- prime them for lipstick or gloss- and lock onto color. It even prevents color from feathering out of bounds. The waterproof formula glides on smoothly- stays creamy- and defines your lips with gorgeous color- while never feeling dry or cakey. Formulated with moisturizing vitamin E- jojoba oil- and cottonseed oil- it nourishes lips every time you apply.

What else you need to know:
 The shade-matched barrels make it easy to find the exact color you need.",https://www.sephora.com/productimages/sku/s1724921-main-zoom.jpg?imwidth=930
8487,Urban Decay,Face Primer,All Nighter Face Primer,Aqua / Water / Eau- Butylene Glycol- Polyacrylamide- Ethylhexyl Palmitate- Glycerin- C13-14 Isoparaffin- Phenoxyethanol- Caprylyl Glycol- Pullulan- Laureth-7- Tocopheryl Acetate- Tetrahexyldecyl Ascorbate- Silica Dimethyl Silylate [nano] / Silica Dimethyl Silylate- Nannochloropsis Oculata Extract- Carbomer- Sodium Lactate- Potassium Sorbate- Triethanolamine- Sodium Benzoate- Litchi Chinensis Pericarp Extract- Polysorbate 20- Sodium Hyaluronate- Hexylene Glycol- Palmitoyl Tripeptide-1- Palmitoyl Tetrapeptide-7.,What it is: A smoothing and hydrating face primer that grips foundation into place and supports its staying power- so your look lasts all day.Ingredient Callouts: This product is also vegan and cruelty-free.What Else You Need to Know: This long-wearing complexion primer goes on sheer- silky soft to the touch- and leaves skin feeling hydrated. It preps and smooths the look of skin- then grips makeup in place so it lasts longer- but is so lightweight that you can wear it solo. It reduces the look of fine lines and leaves skin feeling slightly lifted. ,https://www.sephora.com/productimages/sku/s2302818-main-zoom.jpg?imwidth=930
8489,Urban Decay,Cheek Palettes,"Stay Naked Threesome Blush, Bronzer, & Highlighter Palette",Blush: Talc- Silica- Boron Nitride- Zinc Stearate- Nylon-12- Lauroyl Lysine- Dimethicone- Methicone- Octyldodecyl Stearoyl Stearate- Ethylhexyl Palmitate- Hydrogenated Coco-Glycerides- Phenoxyethanol- Potassium Sorbate- Moringa Oleifera Seed Oil. [+/- (May contain / Peut contenir): CI 77491- CI 77492- CI 77499 / Iron Oxides- CI 77891 / Titanium Dioxide- CI 73360 / Red 30 Lake- CI 15850 / Red 6]. Bronzer- Highlighter: Talc- Zinc Stearate- Dimethicone- Glyceryl Caprylate- Octyldodecyl Stearoyl Stearate- Hydrogenated Coco-Glycerides- Nylon-12- Boron Nitride- Lauroyl Lysine- Silica- Magnesium Carbonate- Potassium Sorbate- Moringa Oleifera Seed Oil- Tin Oxide. [+/- (May contain / Peut contenir): Mica- CI 77491- CI 77492- CI 77499 / Iron Oxides- CI 77891 / Titanium Dioxide]. ,What it is: A three-in-one blush- bronzer- and highlighter palette with a new and improved formula that’s creamy- lightweight- and lasts up to 14-hours.Coverage: Full Finish: Matte Formulation: Liquid Skin Type: Normal- Dry- Combination- and Oily Ingredient Callouts: This product is also vegan and cruelty-free.What Else You Need to Know: Stay Naked Threesome’s creamy- silky powder formula is blendable and buildable- without getting streaky or cakey. Infused with moringa seed oil- it contains antioxidant and anti-pollution properties that help balance and protect skin. Use the bronzer- highlighter- and blush solo or combined for allover glow and smudge-free color that lasts up to 14 hours.Each Palette Contains:(Each sold separately)Fly Pallete:- 0.14 oz/ 4 g Bronzer (deep bronze)- 0.09 oz/ 2.8 g Highlighter (rich gold)- 0.08 oz/ 2.5 g Blush (terracotta pink)Naked Pallete:- 0.14 oz/ 4 g Bronzer (medium bronze)- 0.09 oz/ 2.8 g Highlighter (soft gold)- 0.08 oz/ 2.5 g Blush (classic pink)Rise Pallete:- 0.14 oz/ 4 g Bronzer (pale bronze)- 0.09 oz/ 2.8 g Highlighter (peachy shimmer)- 0.08 oz/ 2.5 g Blush (bright pink),https://www.sephora.com/productimages/sku/s2313872-main-zoom.jpg?imwidth=930
8490,Urban Decay,Setting Spray & Powder,All Nighter Waterproof Setting Powder,Dimethicone- Nylon-12- Silica- Zinc Stearate- HDI/Trimethylol Hexyllactone Crosspolymer- Dimethiconol- Magnesium Myristate- Potassium Sorbate- Caprylyl Glycol- Phenoxyethanol- Lauroyl Lysine- Hexylene Glycol. May Contain (+/-): Mica- Iron Oxides (Ci 77491- Ci 77492- Ci 77499).,What it is: A setting and finishing powder that makes foundation waterproof and offers shine and oil control for a mattified complexion that lasts up to 11 hours.Ingredient Callouts: This product is vegan and cruelty-free.What Else You Need to Know:Translucent and weightless- this setting powder blurs pores and imperfections- blocks shine without dulling your natural glow- and extends the life of foundation so there’s no need to reapply- even in hot climates. Cry- sweat- get wet—this powder helps your makeup stay waterproof and flawless for up to 11 hours.,https://www.sephora.com/productimages/sku/s2081404-main-zoom.jpg?imwidth=930
8491,Urban Decay,Setting Spray & Powder,All Nighter Ultra Matte Makeup Setting Spray,Aqua / Water / Eau- Alcohol Denat.- Kaolin- PVP- Dipropylene Glycol- Phenoxyethanol- Polyhydroxystearic Acid- Caprylyl Glycol- Dimethicone PEG-7 Phosphate- Isononyl Isononanoate- Ethylhexyl Isononanoate- Methyl Methacrylate Crosspolymer- Sodium Cocamidopropyl PG-Dimonium Chloride Phosphate- Glycereth-5 Lactate- PPG-3 Benzyl Ether Myristate- Phenylpropanol- Propanediol- Methyl Diisopropyl Propionamide- Sodium Hydroxide- Aloe Barbadensis Leaf Juice Powder- Maltodextrin- Poloxamer 407- Tocopherol- Potassium Sorbate- Sodium Benzoate- Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate- Parfum / Fragrance. D243149/1. ,"What it is: A weightless ultra-matte setting spray that locks makeup in place while absorbing oil and controlling shine on the skin’s surface for up to 16 hoursIngredient Callouts: Free of parabens. This product is also vegan and cruelty-free. What Else You Need to Know: This microfine mist refreshes skin while mattifying and setting makeup with a kaolin clay-infused vegan formula that knocks out oil and shine. All Nighter’s temperature control technology locks in makeup and keeps it cool- so you stay super-matte for up to 16 hours without settling into fine lines.						
",https://www.sephora.com/productimages/sku/s2313849-main-zoom.jpg?imwidth=930
8493,Urban Decay,Mascara,Subversion Lash Primer," -Vitamin E: Conditions lashes.
-Panthenol: Protects lashes.

Water- C18-36 Acid Triglyceride- Synthetic Wax- Myristic Acid- Stearic Acid- Bis-Diglyceryl Polyacyladipate-2- Butylene Glycol- Copernicia Cerifera (Carnauba) Wax- Glyceryl Stearate- Cera Alba (Beeswax/Cire D'abeille)- Tromethamine- Phenoxyethanol- Hydroxyethylcellulose- Xanthan Gum- Caprylyl Glycol- Hydrogenated Lecithin- Euphorbia Cerifera (Candelilla) Wax- Simethicone- HexyleneGlycol- Sodium Dehydroacetate- Disodium EDTA- Tocopheryl Acetate- Tocopherol- Ascorbyl Palmitate- Panthenol.","What it is:
A whipped- creamy lash primer that conditions and preps for the perfect mascara application.
What it does:
Prep eyelashes for the perfect mascara application with Subversion Lash Primer. The brush coats each lash from root to tip- making them thicker and longer—letting you build dramatically better-looking lashes that look like false lashes. Formulated with protective panthenol and conditioning vitamin E- this primer strengthens lashes for high-volume application. 
What it is formulated WITHOUT:- Parabens
What else you need to know:This product is fragrance-free.",https://www.sephora.com/productimages/sku/s1635788-main-zoom.jpg?imwidth=930
8494,Urban Decay,Makeup,De-Slick Oil-Control Makeup Setting Spray Mini,Water- Alcohol Denat.- PVP- Dimethicone PEG-7 Phosphate- PPG-3 Benzyl Ether Myristate- Polyhydroxystearic Acid- Dipropylene Glycol- Isononyl Isononanoate- Ethylhexyl Isononanoate- Caprylyl Glycol- Sodium Cocamidopropyl PG-Dimonium Chloride Phosphate- Methyl Methacrylate Crosspolymer- Glycereth-5 Lactate- Sodium Hydroxide- Phenylpropanol- Fragrance- Propanediol- Methyl Diisopropyl Propionamide- Poloxamer 407- Aloe Barbadensis Leaf Juice Powder- Maltodextrin- Hexyl Cinnamal- Linalool- Citronellol- Limonene- Benzyl Alcohol- Tocopherol- Potassium Sorbate- Sodium Benzoate- BHT.,What it is: A setting and finishing spray that keeps makeup looking just-applied- delivers oil control- and deflects shine for a matte complexion that lasts. Ingredient Callouts: Free of phthalates. This product is also vegan and cruelty-free.What Else You Need to Know: Made with Urban Decay’s patented Temperature Control Technology- this oil-free- microfine mist lowers the temperature of your makeup to keep foundation- concealer- shadow- and blush from smudging- sliding- or fading.,https://www.sephora.com/productimages/sku/s1900703-main-zoom.jpg?imwidth=930
8496,Urban Decay,Foundation,Stay Naked The Fix Powder Foundation,Talc- Magnesium Stearate- Polymethyl Methacrylate- Synthetic Fluorphlogopite- Isononyl Isononanoate- Nylon-12- Hydrogenated Polydecene- Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer- Diphenyl Dimethicone/Vinyl Diphenyl Dimethicone/Silsesquioxane Crosspolymer- Dimethicone- Aluminum Hydroxide- Ethylhexylglycerin- Perfluorooctyl Triethoxysilane / Perfluorohexylethyl Triethoxysilane- Lauroyl Lysine- Methicone- Hydrogenated Palm Oil- Palmitoyl Proline- Glycerin- Hydrogen Dimethicone- Aqua / Water / Eau- Sodium Palmitoyl Sarcosinate- Magnesium Palmitoyl Glutamate- Palmitic Acid- Phenoxyethanol- Moringa Oleifera Seed Extract- Disodium Phosphate- Citric Acid- Tocopherol. [+/- (May contain/Peut contenir): CI 77891 / Titanium Dioxide- CI 77491- CI 77492- CI 77499 / Iron Oxides- Mica].,What it is: A weightless- vegan long-wear powder foundation with buildable medium coverage and a real-skin matte finish that lasts up to 16 hours.Coverage: Medium Finish: MatteFormulation: Pressed powder Skin Type: Normal- Dry- Combination- and Oily Ingredient Callouts: Free of sulfates SLS and SLES- parabens- phthalates. This product is also vegan and cruelty-free.What Else You Need to Know: Everything you love about Stay Naked Foundation—now in a powder. The Fix’s silky- breathable formula is water and sweat-resistant- with moringa seed oil for anti-pollution and anti-aging benefits. Includes a charcoal-infused sponge to detoxify and mattify skin with every application,https://www.sephora.com/productimages/sku/s2311249-main-zoom.jpg?imwidth=930
8497,Urban Decay,Eyeliner,24/7 Waterline Eye Pencil, Hydrogenated Polyisobutene- Isododecane- Synthetic Wax- Polymethylsilsesquioxane- Silica- Polybutene- Hydrogenated Polydicyclopentadiene- Oryza Sativa Bran Cera / Rice Bran Wax- Hydrogenated Castor Oil- Synthetic Beeswax- Ethylene/Propylene Copolymer- Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate- Alumina. [+/- (May contain/Peut contenir): CI 77491- CI 77492- CI 77499 / Iron Oxides- CI 77891 / Titanium Dioxide- CI 77510 / Ferric Ferrocyanide- CI 77288 / Chromium Oxide Greens- Mica- CI 19140 / Yellow 5 Lake]. ,"What it is:
 A creamy- waterproof- demi-matte eye pencil specifically designed for gliding along the inner rim of the waterline.

What it does:
 Urban Decay’s creamy- demi-matte 24/7 Waterline Eye Pencil lays down waterproof color in a range of never-before-seen shades. Created for use along the inner rim in the waterline (and fully legit)- this pencil is even creamier than Urban Decay’s original bestselling 24/7 Glide-On Eye Pencil. It glides on easily and goes anywhere you want to put it. Once the color sets- it won’t budge so you can perfectly line your waterline in classic black- or opt for a colorful shade—like navy or green—for an eye look that really stands out.

What it is formulated WITHOUT:
- Parabens

What else you need to know:
 So you can easily tell the difference between 24/7 Eye Pencil and 24/7 Waterline Eye Pencil- Urban Decay gave 24/7 Waterline a shade-matched ombré gradient that fades to black- with a matte black cap and end. This product is free of mineral oil- paraffin- and preservatives.",https://www.sephora.com/productimages/sku/s1744283-main-zoom.jpg?imwidth=930
8498,Urban Decay,Mascara,Perversion Waterproof Mascara,unknown,What it is: A super-intense- blacker-than-black mascara which is now waterproof.Ingredient Callouts: Free of parabens. This product is also cruelty-free.What Else You Need to Know: Urban Decay’s ultra-creamy- lengthening- and volumizing formula coats each lash and never gets brittle or clumpy.  A nurturing blend of proteins- amino acids- and honey extract supports a look of bigger- blacker eyelashes.,https://www.sephora.com/productimages/sku/s2203198-main-zoom.jpg?imwidth=930
8501,Urban Decay,Eyeliner,Heavy Metal Glitter Eyeliner - Sparkle Out Loud Collection,Water- Polyethylene Terephthalate- Calcium Sodium Borosilicate- Propylene Glycol- Glycerin- PVP- Acrylates Copolymer- Phenoxyethanol- Caprylyl Glycol- PVM/MA Decadiene Crosspolymer- Synthetic Fluorphlogopite- Polyurethane-11- Polybutylene Terephthalate- Silica- Sodium Hydroxide- Disodium EDTA- Ethylene/VA Copolymer- Calcium Aluminum Borosilicate- Prunus Persica Fruit Extract / Peach Fruit Extract- Cucumis Sativus Fruit Extract / Cucumber Fruit Extract- Daucus Carota Sativa Root Extract / Carrot Root Extract- Tin Oxide- Polyurethane-33. May Contain (+/-):Iron Oxides (Ci 77491- Ci 77499)- Titanium Dioxide (Ci 77891)- Mica- Red 40 (Ci 16035)- Yellow 5 Lake (Ci 19140)- Ferric Ferrocyanide (Ci 77510)- Ferric Ammonium Ferrocyanide (Ci 77510)- Aluminum Powder (Ci 77000)- Yellow 5 (Ci 19140)- Black 2 (Ci 77266)- Blue 1 Lake (Ci 42090)- Manganese Violet (Ci 77742)- Carmine (Ci 75470)- Red 40 Lake (Ci 16035).,What it is: A buildable- water-based liner with multidimensional- superfine glitter in a clear base.Ingredient Callouts: Free of parabens. This product is also cruelty-free.What Else You Need to Know: Heavy Metal Glitter Eyeliner contains superfine glitter in a clear base that dries down quickly and stays put. The thin-tipped brush gives you precision and control. Wear it alone- apply it over eyeshadow- or layer shades for a more intense effect. In celebration of World Pride and honoring the 50 year anniversary of the Stonewall Riots- Urban Decay Cosmetics will donate 25% of the purchase price- with a minimum donation of $100-000- from sales of the Heavy Metal Glitter Liner Stonewall Shade to the Stonewall Foundation – an organization that strengthens the LGBTQ movement through grant making and scholarship programs- during 5/21/19-8/31/19. No portion of the purchase price is tax deductible.To learn more about the Stonewall Community Foundation please visit stonewallfoundation.org.,https://www.sephora.com/productimages/sku/s2234680-main-zoom.jpg?imwidth=930
8503,Urban Decay,Makeup,Perversion Mascara Mini,Aqua / Water- Synthetic Beeswax- Cera Alba / Beeswax- Acacia Senegal Gum- Stearic Acid- Palmitic Acid- Glyceryl Stearate- VP/Eicosene Copolymer- Copernicia Cerifera Cera / Carnauba Wax- Polybutene- Butylene Glycol- Stearyl Stearate- Aminomethyl Propanol- Pentylene Glycol- Phenoxyethanol- Caprylyl Glycol- Sodium Dehydroacetate- Paraffin- Potassium Sorbate- Hydroxyethylcellulose- Soluble Collagen- Behenic Acid- Glycerin- Propylene Glycol- Mel Extract / Honey Extract- Sodium PCA- Hydrolyzed Elastin- Sorbic Acid- Glycogen- Serine. [+/- (May contain/Peut contenir): CI 77499 / Iron Oxides]. ,"What it is:
An ultracreamy- lengthening- and volumizing mascara for stand-out lashes.
What it does:
Perversion glides on easily to instantly create sexy lashes. It has a creamy- full-bodied texture that is not too dry and not too wet to allow just the right amount of pull as it glides through lashes. This formula is not sticky or clumpy- and it contains Hairdensyl- a complex blend of proteins and amino acids that are known to stimulate lash growth. The honey extract provides deep nourishment- sea idrolized elastine stimulates the hair follicle- and marine collagen protects. The high-tech- volumizing brush separates and defines each lash for a clean- clump-free finish- and the triple-black pigments leave them looking intensely black.
What it is formulated WITHOUT:- Parabens",https://www.sephora.com/productimages/sku/s1668870-main-zoom.jpg?imwidth=930
8504,Urban Decay,Eyeliner,Perversion Waterproof Liquid Eyeliner,unknown,What it is: A waterproof- liquid eyeliner for cat-eye perfection in just one stroke. Ingredient Callouts: Free of parabens. This product is also cruelty-free.What Else You Need to Know: This innovative brush tip lays down semi-matte- blacker-than-black pigment with precise application. The new- ultra-fine- flexible brush tip gives you full control over your shape and flick. Plus- the waterproof formula keeps on going until you say “when.”,https://www.sephora.com/productimages/sku/s2203206-main-zoom.jpg?imwidth=930
8510,Urban Decay,Makeup,Eyeshadow Primer Potion - Anti-Aging Mini,Isododecane- Talc- Cyclopentasiloxane- Trimethylsiloxysilicate- Triethylhexanoin- Oryza Sativa (Rice/Riz) Bran Oil- Trihydroxystearin- Disteardimonium Hectorite- Polyethylene- Sorbitan Sesquioleate- VP/Hexadecene Copolymer- C12-15 Alkyl Benzoate- Dimethicone- Alumina- Caprylic/Capric Triglyceride- Phenoxyethanol- PEG-40 Stearate- Synthetic Beeswax- Propylene Carbonate- Hexyl Laurate- Polyglyceryl-4 Isostearate- Tribehenin- PEG-10 Dimethicone- Stearic Acid- Ethylhexylglycerin- Ceramide 2- PEG-10 Rapeseed Sterol- Alaria Esculenta Extract- Palmitoyl Oligopeptide- Aqua (Water/Eau) May Contain: Mica- CI 77891 (Titanium Dioxide)- CI 77491/77492/77499 (Iron Oxides)- CI 77163 (Bismuth Oxychloride). ,What it is: A creamy eyeshadow primer with anti-aging benefits that ensures vibrant- crease-free color for up to 24 hours.Ingredient Callouts: Free of parabens. This product is also vegan and cruelty-free.What Else You Need to Know: A vegan beauty favorite- this eye primer preps lids for shadow and eyeliner- intensifying color for all-day wear. Optical blurring pigments create a soft-focus effect that minimizes redness and smooths texture- while anti-aging skincare ingredients help fight the look of wrinkles and improve skin tone.,https://www.sephora.com/productimages/sku/s1704451-main-zoom.jpg?imwidth=930
8511,Urban Decay,Eyeliner,24/7 Glide-On Eye Pencil - Born To Run Collection,Cyclopentasiloxane- Isododecane- Polybutene- Synthetic Wax- Simmondsia Chinensis Seed Oil/Jojoba Seed Oil- Hydrogenated Cottonseed Oil- Calcium Sodium Borosilicate- Ceresin- Ozokerite- Polyethylene Terephthalate- Microcrystalline Wax- Silica- Calcium Aluminum Borosilicate- Phenoxyethanol- Tocopherol- Ascorbyl Palmitate- Tin Oxide- Polyurethane-11- Alumina- Synthetic Fluorphlogopite. May Contain (+/-): Mica- Iron Oxides (Ci 77491- Ci 77492- Ci 77499)- Titanium Dioxide (Ci 77891)- Ultramarines (Ci 77007)- Carmine (Ci 75470)- Ferric Ferrocyanide (Ci 77510)- Copper Powder (Ci 77400)- Bronze Powder (Ci 77400)- Blue 1 Lake (Ci 42090)- Aluminum Powder (Ci 77000)- Yellow 5 Lake (Ci 19140)- Manganese Violet (Ci 77742)- Chromium Oxide Greens (Ci 77288)- Ferric Ammonium Ferrocyanide (Ci 77510).,What it is:A 24/7 Glide-On Eye Pencil in three new shades that pair perfectly with Born To Run Eyeshadow Palette’s neutral to smoky and bright to sultry eye looks.What it does: Keep the adventurous vibes going with three fun-loving shades of Urban Decay’s 24/7 Glide-On Eye Pencil. From a reddish-brown to a dark copper to a deep green metallic- these versatile shades will pair perfectly with any bold eye look you can dream up (each sold separately).UD’s Born To Run 24/7 Glide-On Eye Pencils are your globe-trotting go-to. These two new shades and one cult-favorite (Lucky) are the perfect complements to any Born To Run eye look. Made with UD’s award-winning- waterproof formula- these creamy pencils will stand up to dancing until daybreak in Prague or long drives through the Mojave Desert. The shades make a sunset-hued eye a cinch and offer enough playtime to smudge for an imperfect wing that sets and stays put.Like all 24/7 Glide-On Eye Pencils- these Born To Run shades feature shade-matched barrels (convenient when you’re trying to dig the right pencil out of the depths of an overnight bag).What it is formulated WITHOUT:- ParabensWhat else you need to know: Urban Decay is 100 percent cruelty-free.,https://www.sephora.com/productimages/sku/s2083459-main-zoom.jpg?imwidth=930
8512,Urban Decay,Face Primer,Quick Fix Hydracharged Complexion Prep Priming Spray,Water- Hamamelis Witch Hazel Water- Niacinamide- Propanediol- Coconut Water- Glycereth-5 Lactate- PEG-35 Castor Oil- Phenoxyethanol- Caffeine- Dimethicone PEG-7 Phosphate- Caprylic/Capric Triglyceride- Glycolic Acid- Bisabolol- Fragrance- Carnitine- Ethylhexylglycerin- Zinc Gluconate- Magnesium Aspartate- Radish Root- Ferment Filtrate- Benzyl Benzoate- Coumarin- Copper Gluconate- Benzyl Alcohol.,"What it is:
 A hydrating- soothing priming spray that visibly reduces the appearance of pores- brightens and smooths skin- and hydrates.

What it does:
 Reduce the look of a late night out with this priming spray. Once you cleanse your post-party complexion- balance and reinvigorate your skin with Urban Decay’s Quick Fix Hydra-Charged Complexion Prep Priming Spray. The soothing- prep-priming spray is light enough to use throughout the day—without messing up your makeup- and it also hydrates and softens skin. Use it in the morning to prep and reawaken your skin before applying makeup. Use it at night before your treatment- or anytime you need a quick boost. 


Created in an exclusive partnership with Skindinavia and inspired by the Korean water trend- this spray is even more hydrating than B6 Prep Spray. This energizing formula is versatile enough for every skin type- and it’s loaded with skin-nourishing ingredients like vitamin B3- Sepitonic™ M3- and coconut water. Treat your skin to intense moisture as you prep- prime- and balance your complexion.

What else you need to know:
 Quick Fix comes in a sleek- soft-touch neon green bottle with a frosted white cap. Like other Urban Decay sprays- the sprayer emits a calibrated- micro-fine mist that goes on so light- you’ll hardly feel it—and it and smells like a summer day on the beach.

Research results:
 In a clinical study on 30 people- immediately after use:
- 100% of participants had a reduction in pore visibility
- 100% had a visible improvement in skin radiance
- 83% had a visible improvement in skin hydration",https://www.sephora.com/productimages/sku/s1899962-main-zoom.jpg?imwidth=930
8514,Urban Decay,Eyebrow,Brow Beater Waterproof Brow Pencil & Spoolie,Hydrogenated Soybean Oil- Synthetic Japan Wax- Stearic Acid- Synthetic Fluorphlogopite- Hydrogenated Coco-Glycerides- Zinc Stearate- Polyglyceryl-2 Triisostearate- Myristyl Myristate- Polyhydroxystearic Acid- Tocopherol. [+/- (May Contain / Peut Contenir): Ci 77491- Ci 77492- Ci 77499 / Iron Oxides- Ci 77891 / Titanium Dioxide]. ,What it is: A waterproof- teardrop-shaped brow pencil that glides on smoothly to fill in and shape sparse brows.Ingredient Callouts: This product is vegan and cruelty-free.What Else You Need to Know: For soft- full brows- use the flat side of the pencil and blend with the spoolie brush. For more precision- use the fine-point teardrop tip to create hair-like strokes. This foolproof brow pencil makes it easy to master the perfect smudge-resistant- waterproof brow.,https://www.sephora.com/productimages/sku/s2313914-main-zoom.jpg?imwidth=930
8517,Urban Decay,Eyeliner,24/7 Glide-On Eye Pencil - Sparkle Out Loud Collection,Isododecane- Cyclopentasiloxane- Peg/Ppg-19/19 Dimethicone- Synthetic Wax- Hydrogenated Polydicyclopentadiene- Calcium Sodium Borosilicate- Nylon-12- C20-40 Alcohols- Perfluorononyl Dimethicone- Silica- Synthetic Fluorphlogopite- Calcium Aluminum Borosilicate- Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate- Polyethylene Terephthalate- Polyethylene- Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate- Acrylates Copolymer- Tin Oxide- Tocopherol- Polyurethane-11. May Contain (+/-): Mica- Iron Oxides (Ci 77491- Ci 77492- Ci 77499)- Titanium Dioxide (Ci 77891)- Ultramarines (Ci 77007)- Ferric Ammonium Ferrocyanide (Ci 77510)- Copper Powder (Ci 77400)- Aluminum Powder (Ci 77000)- Bronze Powder (Ci 77400)- Carmine (Ci 75470)- Ferric Ferrocyanide (Ci 77510).,What it is: An award-winning- long-lasting- waterproof eyeliner pencil in a wide range of shades.Ingredient Callouts: Free of parabens. This product is also cruelty-free.What Else You Need to Know: 24/7 Glide-On Eye Pencil applies super-soft for blending- then dries to a long-lasting finish. Line eyes with a hint of color or opt for a dramatic- multi-hued look. The waterproof formula contains 50-percent moisturizing ingredients- making this a holy grail eyeliner that’s a dream to apply.,https://www.sephora.com/productimages/sku/s2235745-main-zoom.jpg?imwidth=930
